"idseaConditionFact";"bulk";"texture";"shape";"uniformity";"score";"date";"idspot"
361;1;1;1;2;"3";"2020-05-06 17:00:00";380
362;1;2;3;0;"3";"2020-05-10 07:00:00";386
363;1;3;2;1;"5";"2020-05-10 09:00:00";386
364;1;2;3;0;"3";"2020-05-10 11:00:00";386
365;2;3;3;0;"3";"2020-05-10 14:00:00";386
366;1;3;3;0;"2";"2020-05-10 17:00:00";386
367;1;2;3;0;"2";"2020-05-10 07:00:00";380
368;1;3;2;0;"2";"2020-05-10 10:00:00";380
369;2;3;2;0;"3";"2020-05-10 12:00:00";380
370;1;3;3;0;"2";"2020-05-10 14:00:00";380
371;1;3;3;0;"3";"2020-05-10 17:00:00";380
372;1;3;2;0;"1";"2020-05-11 07:00:00";380
373;1;3;1;0;"3";"2020-05-11 09:00:00";380
374;1;3;3;0;"2";"2020-05-11 15:00:00";380
375;2;2;3;1;"5";"2020-05-11 07:00:00";386
376;1;3;1;0;"3";"2020-05-11 09:00:00";386
377;2;2;1;1;"3";"2020-05-11 12:00:00";386
378;1;3;1;0;"2";"2020-05-11 15:00:00";386
379;1;2;3;2;"7";"2020-05-12 07:00:00";386
380;1;2;3;1;"4";"2020-05-12 09:00:00";386
381;1;2;1;0;"4";"2020-05-12 10:00:00";386
382;1;3;3;0;"4";"2020-05-12 12:00:00";386
383;1;3;1;1;"3";"2020-05-12 14:00:00";386
384;1;3;3;1;"4";"2020-05-12 15:00:00";386
385;1;2;3;1;"4";"2020-05-12 17:00:00";386
386;1;2;3;0;"4";"2020-05-12 07:00:00";380
387;1;2;1;0;"3";"2020-05-12 10:00:00";380
388;1;1;2;1;"5";"2020-05-12 13:00:00";380
390;1;1;3;0;"3";"2020-05-13 07:00:00";380
391;1;2;3;0;"3";"2020-05-13 09:00:00";380
392;0;2;3;0;"1";"2020-05-13 11:00:00";380
393;1;2;3;1;"3";"2020-05-13 15:00:00";380
394;1;1;4;1;"5";"2020-05-13 17:00:00";380
395;1;1;3;1;"5";"2020-05-13 07:00:00";386
396;1;2;3;2;"8";"2020-05-13 08:00:00";386
397;1;1;1;1;"3";"2020-05-13 11:00:00";386
398;1;2;3;0;"3";"2020-05-13 13:00:00";386
399;1;2;3;2;"7";"2020-05-13 14:00:00";386
400;1;3;3;0;"4";"2020-05-13 16:00:00";386
401;1;2;3;1;"3";"2020-05-14 07:00:00";386
402;1;2;3;2;"4";"2020-05-14 09:00:00";386
403;0;3;3;0;"1";"2020-05-14 14:00:00";386
404;1;1;2;2;"2";"2020-05-14 07:00:00";380
405;0;1;3;1;"1";"2020-05-14 09:00:00";380
406;0;1;3;2;"2";"2020-05-14 15:00:00";380
407;1;1;3;2;"3";"2020-05-18 07:00:00";386
408;0;1;3;2;"1";"2020-05-18 09:00:00";386
409;0;2;3;2;"1";"2020-05-18 11:00:00";386
410;0;1;3;2;"1";"2020-05-18 07:00:00";380
411;0;1;3;2;"1";"2020-05-18 14:00:00";380
412;0;1;3;1;"1";"2020-05-19 07:00:00";380
413;0;2;3;1;"1";"2020-05-19 11:00:00";380
414;0;1;3;2;"2";"2020-05-19 07:00:00";386
415;0;2;3;1;"1";"2020-05-19 11:00:00";386
416;0;3;3;0;"1";"2020-05-19 16:00:00";386
417;0;2;3;0;"1";"2020-05-20 07:00:00";386
418;1;2;3;1;"3";"2020-05-20 12:00:00";386
419;1;2;3;0;"2";"2020-05-20 15:00:00";386
420;0;2;3;0;"1";"2020-05-20 07:00:00";380
421;0;3;3;0;"1";"2020-05-20 12:00:00";380
422;2;3;2;0;"2";"2020-05-21 07:00:00";386
423;1;3;1;0;"1";"2020-05-21 09:00:00";386
424;1;2;3;1;"4";"2020-05-21 12:00:00";386
425;2;2;3;0;"4";"2020-05-21 14:00:00";386
426;1;3;3;0;"2";"2020-05-21 16:00:00";386
427;1;3;3;0;"2";"2020-05-21 07:00:00";380
428;1;3;3;0;"1";"2020-05-21 10:00:00";380
429;0;3;3;0;"1";"2020-05-21 11:00:00";380
430;1;4;3;0;"1";"2020-05-21 13:00:00";380
431;2;3;1;0;"4";"2020-05-22 07:00:00";386
432;2;2;2;1;"5";"2020-05-22 08:00:00";386
433;1;2;3;1;"5";"2020-05-22 11:00:00";386
434;2;4;3;0;"2";"2020-05-22 13:00:00";386
435;1;2;3;1;"4";"2020-05-22 15:00:00";386
436;1;3;3;0;"2";"2020-05-22 07:00:00";380
437;2;3;1;1;"3";"2020-05-22 08:00:00";380
438;1;3;3;0;"2";"2020-05-22 12:00:00";380
439;1;3;3;0;"2";"2020-05-22 17:00:00";380
440;1;2;2;0;"3";"2020-05-23 07:00:00";386
441;1;1;3;0;"3";"2020-05-23 12:00:00";386
442;2;1;3;1;"5";"2020-05-23 14:00:00";386
443;1;1;4;2;"5";"2020-05-23 16:00:00";386
444;1;3;1;0;"1";"2020-05-23 07:00:00";380
445;0;2;3;0;"1";"2020-05-23 09:00:00";380
446;1;2;3;2;"4";"2020-05-23 14:00:00";380
447;1;1;3;2;"6";"2020-05-23 16:00:00";380
448;1;1;2;2;"8";"2020-05-24 07:00:00";386
449;1;1;2;2;"4";"2020-05-24 09:00:00";386
450;1;1;3;2;"6";"2020-05-24 12:00:00";386
451;0;2;3;1;"2";"2020-05-24 13:00:00";386
452;1;2;3;1;"5";"2020-05-24 15:00:00";386
453;0;1;3;2;"1";"2020-05-24 07:00:00";380
454;1;1;1;2;"2";"2020-05-24 09:00:00";380
455;0;2;3;2;"1";"2020-05-24 13:00:00";380
456;0;1;3;2;"1";"2020-05-24 16:00:00";380
457;0;2;3;2;"2";"2020-05-25 07:00:00";386
458;0;1;3;2;"2";"2020-05-25 11:00:00";386
459;0;1;3;2;"2";"2020-05-26 07:00:00";386
460;1;1;3;2;"4";"2020-05-26 10:00:00";386
461;0;1;3;2;"1";"2020-05-26 12:00:00";386
462;0;2;3;2;"1";"2020-05-26 14:00:00";386
463;0;1;3;2;"2";"2020-05-25 07:00:00";380
464;0;1;3;2;"1";"2020-05-26 07:00:00";386
465;0;1;3;2;"2";"2020-05-27 07:00:00";386
466;1;2;3;1;"3";"2020-05-27 16:00:00";386
467;0;1;1;2;"1";"2020-05-27 07:00:00";380
468;1;2;2;2;"2";"2020-05-27 16:00:00";380
469;1;2;3;0;"3";"2020-05-29 07:00:00";386
470;0;1;3;0;"1";"2020-05-29 08:00:00";386
471;1;3;3;0;"2";"2020-05-29 12:00:00";386
472;0;4;3;0;"1";"2020-05-29 13:00:00";386
473;0;2;3;0;"1";"2020-05-29 07:00:00";380
474;0;3;3;0;"1";"2020-05-29 10:00:00";380
475;0;2;3;1;"1";"2020-06-01 07:00:00";386
476;1;1;1;1;"2";"2020-06-01 07:00:00";380
477;0;1;1;2;"1";"2020-06-01 10:00:00";380
478;0;2;1;2;"1";"2020-06-01 16:00:00";380
479;0;1;3;2;"2";"2020-06-03 07:00:00";386
480;0;2;3;1;"1";"2020-06-03 12:00:00";386
481;1;1;2;2;"8";"2020-06-03 07:00:00";380
482;0;1;1;2;"3";"2020-06-03 08:00:00";380
483;1;1;2;2;"2";"2020-06-04 07:00:00";386
484;0;1;2;2;"1";"2020-06-04 08:00:00";386
485;0;2;3;0;"1";"2020-06-04 13:00:00";386
486;0;1;3;1;"1";"2020-06-04 17:00:00";386
487;0;1;2;2;"1";"2020-06-04 07:00:00";380
488;0;2;3;2;"1";"2020-06-04 13:00:00";380
489;0;1;3;2;"1";"2020-06-04 17:00:00";380
490;1;3;3;0;"1";"2020-06-05 07:00:00";386
491;1;2;3;1;"3";"2020-06-05 13:00:00";386
492;0;1;1;0;"1";"2020-06-05 07:00:00";380
493;0;2;1;0;"1";"2020-06-05 09:00:00";380
494;1;2;1;0;"2";"2020-06-05 15:00:00";380
495;3;4;3;0;"4";"2020-06-06 07:00:00";386
496;2;3;3;1;"5";"2020-06-06 08:00:00";386
497;2;3;3;0;"4";"2020-06-06 09:00:00";386
498;1;3;1;0;"3";"2020-06-06 10:00:00";386
499;2;3;1;0;"2";"2020-06-06 11:00:00";386
500;3;3;2;0;"4";"2020-06-06 12:00:00";386
501;3;3;1;0;"2";"2020-06-06 15:00:00";386
502;2;4;3;0;"2";"2020-06-06 07:00:00";380
503;3;3;3;1;"4";"2020-06-06 09:00:00";380
504;2;3;3;1;"4";"2020-06-06 11:00:00";380
